name,aliases,hash_id,current_affiliation,previous_affiliation,last_degree_affiliation,orcid_url,orcid,author_id,verified
Kenny Angstadt,NA,4f3eef0370e52086c2926bf07e10f1af5226f1bf,Jose Maria Vargas University,NA,NA,NA,0000-0000-0000-0032,32,FALSE
Maryann Rogriguez,NA,9f0a0e9557a8cb9ce0cc6b50ab1b537c5264e63e,North Georgia College & State University,NA,NA,NA,0000-0000-0000-0033,33,FALSE
Tomiko Hawke,NA,b4af38d52e5813fa2b6eea2f9ee4b863ba59522c,The Healthcare Institute,NA,NA,NA,0000-0000-0000-0034,34,FALSE
Jerry Weneck,NA,09ca23e239b783f419dded280411a4a2a6a78553,University of San Diego,NA,NA,NA,0000-0000-0000-0035,35,FALSE
Lucienne Fontelroy,NA,45afc3dfb41174e6c48f899d3eaa6e3cc21025f5,Neumann University,NA,NA,NA,0000-0000-0000-0036,36,FALSE
Lani Smithhart,NA,f16770b72fd7de942b3c2d33d57474b7d4443747,Kaplan Test Prep,NA,NA,NA,0000-0000-0000-0037,37,FALSE
Bryanna Chimenti,NA,305fb05368a324721b919d9112495d1dcbcbd740,United States University,NA,NA,NA,0000-0000-0000-0038,38,FALSE
Margie Bethune,NA,237453d97243bad1002f5a76ee95bdde5182ee61,Marywood University,NA,NA,NA,0000-0000-0000-0039,39,FALSE
Ceola Radsek,NA,22d21dc9a79f9e9bb6f4baa56694712a22ac8a1a,Antioch School of Church Planting and Leadership Development,NA,NA,NA,0000-0000-0000-0040,40,FALSE
Bette Orlando,NA,01bd74a60116f4d7564aab829aca1c30d69f3086,Eastfield College,NA,NA,NA,0000-0000-0000-0041,41,FALSE
Bernadette Hibbler,NA,b6021b62398be5403512740825218bdd87eebd1f,Blush School of Makeup,NA,NA,NA,0000-0000-0000-0042,42,FALSE
Maida Slipp,NA,9288cc4be9c7b338599d3138afeff51349b1b42b,OUR LADY OF LOURDES SCHOOL OF NURSING,NA,NA,NA,0000-0000-0000-0043,43,FALSE
Dirk Christel,NA,4a22aa6773b8b44157e668b3036ee2e657cf8e3f,National Defense University,NA,NA,NA,0000-0000-0000-0044,44,FALSE
Jonnie Snellenberger,NA,af5a3747b86be4f780e14754b3fac127eb4adba5,San Diego College,NA,NA,NA,0000-0000-0000-0045,45,FALSE
Edgar Agard,NA,934b4581f19339b11b6a2954a52c9d43290a755a,University of New Mexico,NA,NA,NA,0000-0000-0000-0046,46,TRUE
Monica Glory,NA,fe3519daba3f7b217240ead62a869aaeeb59f093,College of William and Mary,NA,NA,NA,0000-0000-0000-0047,47,FALSE
George Wimbush,NA,dc6d91caa37b9111f45109b0f3cee9b82b080c7d,American River College,NA,NA,NA,0000-0000-0000-0048,48,FALSE
Jacquetta Kittinger,NA,dc2bbd161ab12371a661ca621ffd0bf95d81c882,Internexus Indiana,NA,NA,NA,0000-0000-0000-0049,49,FALSE
Nan Muss,NA,67af52e13d87ec2c5eb1b5936fdc566cb1ca51d0,Rochester Educational Opportunity Center,NA,NA,NA,0000-0000-0000-0050,50,FALSE
China Mazikowski,NA,e39e026cd68eb9ee42f546e37ad46b0c019d537a,Future Generations University,NA,NA,NA,0000-0000-0000-0051,51,FALSE
Evangeline Skeans,NA,51044e0c91f78e7a10160a9701b3294ae154a48a,Boston Architectural College,NA,NA,NA,0000-0000-0000-0052,52,FALSE
Joyce Lindie,NA,62792133d57ca553045417c08d7fcd7c054edd25,Arkansas State University Three Rivers,NA,NA,NA,0000-0000-0000-0053,53,FALSE
Kimiko Lupercio,NA,594a1505fb4ee7f5757202027ae8b87d8c1cacd6,Saint Gregory's University,NA,NA,NA,0000-0000-0000-0054,54,FALSE
Leanna Grinman,NA,66652ad5de7fd96afbd7f655adbdc66f48e5dac9,Shasta College,NA,NA,NA,0000-0000-0000-0055,55,FALSE
John Statum,NA,47599756f49c1f8fb3f2babd8cf286f3fb749f09,Revolutionary Education Center,NA,NA,NA,0000-0000-0000-0056,56,TRUE
Quincy Duy,NA,de8c748d953a1b159d71922d15d72e78b41e8dd8,University of Guam,NA,NA,NA,0000-0000-0000-0057,57,FALSE
Seymour Seabright,NA,9bb1fd3df2234a41c3ed1a826322b07fb402d3b0,Feather River College,NA,NA,NA,0000-0000-0000-0058,58,FALSE
Mignon Estepp,NA,bb9dc40de02591c7f5c36a94c257bd32402fca1c,Rockefeller University,NA,NA,NA,0000-0000-0000-0059,59,FALSE
Clayton Lozado,NA,ab3d8ad9ba72e2ee3eafb513f143fe480640bd85,Southwest University,NA,NA,NA,0000-0000-0000-0060,60,FALSE
Dwain Means,NA,52de7733f85052e9c403ee98d3568b613f6edd81,Hunter College - CUNY,NA,NA,NA,0000-0000-0000-0061,61,FALSE
Corene Som,NA,8f9271fc273c81d7dda95505db4f7c50211d1794,Pennsylvania College of Health Sciences,NA,NA,NA,0000-0000-0000-0062,62,FALSE
Deandre Gazdik,NA,9e864e2f901414fe1efc0cda21670375e264aa31,Wesleyan College,NA,NA,NA,0000-0000-0000-0063,63,FALSE
Brandi Roseboro,NA,22d0845821b004e696fa7be42e38fb858f46f8b9,Horizon University,NA,NA,NA,0000-0000-0000-0064,64,FALSE
Nubia Kedzierski,NA,afe68fe3eb7b06c9ce105365ee442cf56891cc6b,Ohio Wesleyan University,NA,NA,NA,0000-0000-0000-0065,65,FALSE
Emilie Sappington,NA,68d0256b149d35d52d1a27db53dc835b0eab5362,Texarkana College,NA,NA,NA,0000-0000-0000-0066,66,FALSE
Leota Bonnet,NA,579b7790ce128ed33e35a722e544bf4a4413d942,St. John's College,NA,NA,NA,0000-0000-0000-0067,67,FALSE
Bong Fiero,NA,8ad080e9afd711a5f66cbaf7166ac6abdbbba2b2,The Institute of World Politics,NA,NA,NA,0000-0000-0000-0068,68,FALSE
Jamee Hargrave,NA,133c40562cdfaea3609290024dcab4978ec3032e,Arkansas Welding Academy,NA,NA,NA,0000-0000-0000-0069,69,FALSE
Albina Uxa,NA,5e40caaaf92b11b724aff4a792dea20180be95a3,Lubbock Christian University,NA,NA,NA,0000-0000-0000-0070,70,FALSE
Debbie Clarkston,NA,7b5dbd5fa80dfe7f343e0db549324c053ed097df,California Intercontinental University,NA,NA,NA,0000-0000-0000-0071,71,FALSE
Valery Rohlfs,NA,9a596c9fd1dc404fedc347afbf4e7119f0f45817,Computer Institute of Technology,NA,NA,NA,0000-0000-0000-0072,72,FALSE
Ashlie Hegmann,NA,2861e620f16984eaa35a49a9eaf93a2f054621f5,Harbor Occupational Center,NA,NA,NA,0000-0000-0000-0073,73,FALSE
Janey Glassman,NA,8af1ffd5ada4a40ecceae93d68865fbc3b84d01d,The University of Montana,NA,NA,NA,0000-0000-0000-0074,74,FALSE
Reda Marnell,NA,4ef14ab40fbfce200225de73a69e04773401f940,Classic Cooking Academy,NA,NA,NA,0000-0000-0000-0075,75,FALSE
Magan Curfman,NA,ddeebb645b6f953c38e4255f09123f840658c5c0,Miami Dade College,NA,NA,NA,0000-0000-0000-0076,76,FALSE
Cristina Meneal,NA,cc760df5c88fbc6fdb1329a2954eb2a2bb71dde2,Jameson Health System,NA,NA,NA,0000-0000-0000-0077,77,FALSE
Antony Dekok,NA,54341755128880bdb4e11947a9e8696bc4c5c090,Cal America Education Institute,NA,NA,NA,0000-0000-0000-0078,78,FALSE
Karlene Saxfield,NA,1dc3205ae667f8a23b2654a50a7889df628b5782,Cox Health Systems - School of Radiologic Technology,NA,NA,NA,0000-0000-0000-0079,79,FALSE
Val Nafziger,NA,0ef700f99450191e343ea97e4be427b198c46ff4,Allegro Music College,NA,NA,NA,0000-0000-0000-0080,80,FALSE
Nicolle Ajello,NA,06b32b17546bdbe2ac5da1a5690b81ebcddfc3ca,University of Mary Hardin-Baylor,NA,NA,NA,0000-0000-0000-0081,81,FALSE
Luis Neitzel,NA,a0bf36de680c87776a4f4056c20547f3ee129424,Fortis College - Salt Lake City,NA,NA,NA,0000-0000-0000-0082,82,FALSE
Shela Zupfer,NA,ddb2092cef0bbd39a57cf7187796d403d7a5cff9,Dakota State University,NA,NA,NA,0000-0000-0000-0083,83,FALSE
Peggy Funt,NA,61b7bbd7cbd61da467b6ea1f9c67cb53a1832ec6,Hellenic College,NA,NA,NA,0000-0000-0000-0084,84,FALSE
Kristeen Euser,NA,e9600446afcad3d84e5a07ca201b3ff490f5b845,Patten University,NA,NA,NA,0000-0000-0000-0085,85,FALSE
Tarsha Vonderahe,NA,9c1e9ce70d0fa28429ab26838f2a13975ed1b473,BioHealth College,NA,NA,NA,0000-0000-0000-0086,86,FALSE
Noemi Coutre,NA,14622c865aa61c768c1d078d79b85c47913f9e7a,FLS International at Citrus College,NA,NA,NA,0000-0000-0000-0087,87,FALSE
Jonell Mleczko,NA,bf40b7cc98d1444f7fde556923016e119b05b78b,University of Pikeville,NA,NA,NA,0000-0000-0000-0088,88,FALSE
Dick Dunlap,NA,4150a71c4848c3cd7a16a3aa283e91aa63138b91,Yeshivath Viznitz,NA,NA,NA,0000-0000-0000-0089,89,FALSE
Mao Ashley,NA,2999fb6743701b6ba62da3eeee4bed38d4fd1a80,Northwest College,NA,NA,NA,0000-0000-0000-0090,90,FALSE
Alonso Bersch,NA,f272dad7addc7d656fb39eb5b93b33523b5a746c,Western Texas College,NA,NA,NA,0000-0000-0000-0091,91,FALSE
Kassandra Lebsock,NA,09244604072bd9cc45e8cd977f4058034de1cd23,Chapman University,NA,NA,NA,0000-0000-0000-0092,92,FALSE
Azalee Chowanec,NA,43c78a94a59740b517e08af787ea9b4ce23eb824,SCOTT COLLEGE OF COSMETOLOGY-CUMBERLAND,NA,NA,NA,0000-0000-0000-0093,93,FALSE
Mertie Carsen,NA,3c9755a44311e9ff4f61b6b8af210cc8db8af927,The Sanville Institute,NA,NA,NA,0000-0000-0000-0094,94,FALSE
Temple Mosby,NA,c28f00b11ad189c00690bf9cb2408087cbad5bcd,SUNY Stony Brook,NA,NA,NA,0000-0000-0000-0095,95,FALSE
Vern Tanis,NA,df31ab80f9ee047f19932c12a99370a0e95f7254,Sweetwater Union High School District - Adult Education,NA,NA,NA,0000-0000-0000-0096,96,FALSE
Sherman Kulow,NA,844cee1e4f327b5e5203daac041be4596e1aae15,Siegal College of Judaic Studies,NA,NA,NA,0000-0000-0000-0097,97,FALSE
Shakia Armbrust,NA,feb490e7c4c7d65ea501c72a933aad20d1665253,Schoolcraft College,NA,NA,NA,0000-0000-0000-0098,98,FALSE
Ezekiel Altreche,NA,bffbb17ed1f6243f6a397764d2a42307d18e14f8,Los Angeles Harbor College,NA,NA,NA,0000-0000-0000-0099,99,FALSE
Laine Cham,NA,0c16875fb2ad7b332f364c7f739fa631183f950d,Future-Tech Institute,NA,NA,NA,0000-0000-0000-00100,100,FALSE
Felipe Billington,NA,c5338f9d42bb0e5d998ef336cfd2b41e22c8d83f,Fortis Institute - Scranton,NA,NA,NA,0000-0000-0000-00101,101,FALSE
Rory Blouir,NA,e7dd50b72f84945e29817eb7204226844d36db7d,Roanoke College,NA,NA,NA,0000-0000-0000-00102,102,FALSE
Benny Bobbs,NA,127a7988834b290db4dac2bda5ea486cd71a3e51,Mercy/St. Luke's Hospital,NA,NA,NA,0000-0000-0000-00103,103,FALSE
Enrique Nisley,NA,be7eb942e1b51a2115f4cdbf52f1fad9c867bc0d,Florida Education Institute,NA,NA,NA,0000-0000-0000-00104,104,FALSE
Courtney Saranzak,NA,03c80fc99374f8be9dc8d5959323ec685116fe06,Alfred University,NA,NA,NA,0000-0000-0000-00105,105,TRUE
Shani Splinter,NA,706110548ce2c77347fb009992486e637adc0492,William Tyndale College,NA,NA,NA,0000-0000-0000-00106,106,FALSE
Guillermina Habeeb,NA,bc1c149753a32e53b12553674bcbfca357c95817,Washington & Jefferson College,NA,NA,NA,0000-0000-0000-00107,107,FALSE
Herbert Dobberfuhl,NA,730b61ed8f795138abc716555d89c61b3a961c2d,Spring Hill College,NA,NA,NA,0000-0000-0000-00108,108,FALSE
Santina Opeka,NA,b2f2c8d0e2284a605c32ca02caaaf9563a744a89,Appalachian State University,NA,NA,NA,0000-0000-0000-00109,109,FALSE
Sandra Ibrahim,NA,0556f965c551b4329b197941ece5934c307dd1a0,City Colleges of Chicago-Olive-Harvey College,NA,NA,NA,0000-0000-0000-00110,110,TRUE
Raymonde Graciano,NA,380424504add64c1a144bcf5ce153bff52e9b646,Bluffton University,NA,NA,NA,0000-0000-0000-00111,111,FALSE
Vergie Gosda,NA,54762843e14ca42f7f062eb7db6369596c17de38,Yeshiva Gedolah Keren Hatorah,NA,NA,NA,0000-0000-0000-00112,112,FALSE
Phillip Birdon,NA,cb8fb6b45ecffdb9c69bcd501ef5b90d6332ce30,Advance Science International College,NA,NA,NA,0000-0000-0000-00113,113,FALSE
Many Bassin,NA,8dc59c389ceb9fa567af4657cde540e4b50131df,Maui Academy of cosmetology LLC,NA,NA,NA,0000-0000-0000-00114,114,FALSE
Humberto Davia,NA,87debeceae729a04a9b991df55fbe2c1a04005e3,Mid Michigan College,NA,NA,NA,0000-0000-0000-00115,115,FALSE
Alicia Nakagawa,NA,98e5455ab02b92e270c562e695f831bd7c68c26b,Center for Development of Security Excellence (CDSE),NA,NA,NA,0000-0000-0000-00116,116,FALSE
Gayle Ziad,NA,5d1ab570625e38486a095681cecce944930b79de,Georgia College and State University,NA,NA,NA,0000-0000-0000-00117,117,FALSE
Reatha Ulrey,NA,c242c97bf6fcde60a005831aec3282e2c66b4a97,University of Illinois at Chicago,NA,NA,NA,0000-0000-0000-00118,118,FALSE
Gertude Szabo,NA,5903b8be6b1ed5d9ca8800b1eaed57a8d3abfa37,Pennsylvania State System of Higher Education-Central Office,NA,NA,NA,0000-0000-0000-00119,119,FALSE
Shirl Kauppi,NA,c74c44cd13637df9a3a43518abb84be771adb4bd,Border Institute of Technology,NA,NA,NA,0000-0000-0000-00120,120,FALSE
Arielle Trulson,NA,78cccce64ef1b8af5202433cd9a3b404a0f77fa7,College of Micronesia-FSM Campus-Kosrae,NA,NA,NA,0000-0000-0000-00121,121,FALSE
Torri Buroker,NA,8b83e430d8c11cf2e86eb46871940dd0ec6e7ab9,University of South Los Angeles,NA,NA,NA,0000-0000-0000-00122,122,FALSE
Neda Paladino,NA,5cfc0454abd186aa9e5980a9bdfa68bdfb3d8f5f,Bexar County Juvenile Probation Department (BCJPD),NA,NA,NA,0000-0000-0000-00123,123,FALSE
Tiera Pekara,NA,772385a8a28add394c6564b3234fac88f9cd8a91,Principia College,NA,NA,NA,0000-0000-0000-00124,124,FALSE
Venus Gilfillan,NA,24a20a846cb1926047fdbfabf5926656ad75d094,Dalton State College,NA,NA,NA,0000-0000-0000-00125,125,FALSE
Galen Milelr,NA,24bff4a8df93829e997c3640d7e3d4a941afd1cb,Carnegie Institute,NA,NA,NA,0000-0000-0000-00126,126,FALSE
Valda Escobar,NA,0a41b497b6fec6ea4a140072095d3da76356b8d2,William Peace University,NA,NA,NA,0000-0000-0000-00127,127,FALSE
Veda Rower,NA,fb64e0f72b0ceb53a069fb0b42c6d11b6382d370,US Army Armor School,NA,NA,NA,0000-0000-0000-00128,128,FALSE
Garland Palermo,NA,4988369a7210da0bc372affc4dd749eb2630bb59,American College of Healthcare Sciences,NA,NA,NA,0000-0000-0000-00129,129,FALSE
Nichole Lucus,NA,551eeb22af1688b001fe248c204cd592cc329479,Indiana University of Pennsylvania,NA,NA,NA,0000-0000-0000-00130,130,FALSE
Erick Larubbio,NA,408dab35713f0d03e9dfed7af13c13da72d82dd5,Western Michigan University Homer Stryker M.D. School of Medicine,NA,NA,NA,0000-0000-0000-00131,131,FALSE
Xiomara Castells,NA,e5b11d915f12258960c5e081ebfa5ebd21e7cd19,South Plains College,NA,NA,NA,0000-0000-0000-00132,132,FALSE
Dominque Hergenrader,NA,a4626fe9751ef1e2a13b5ec8f810251e494f3d78,Voorhees College,NA,NA,NA,0000-0000-0000-00133,133,FALSE
Jaime Treworgy,NA,696a539cf82fe089dfc03d261ef9f0df6267c9b9,Trinity International College,NA,NA,NA,0000-0000-0000-00134,134,FALSE
Rosalee Spindler,NA,75affaffdfb14421cc699b37f48af40e75b3154e,Waynesburg University,NA,NA,NA,0000-0000-0000-00135,135,FALSE
Tommye Nori,NA,2aa926f4a3a6791c0fc42d28ab3faa9b94898c50,West Chester University of Pennsylvania,NA,NA,NA,0000-0000-0000-00136,136,FALSE
Toshiko Tharp,NA,b9f2ae453b486ad5ec7965c447e4667b476b11aa,Alverno College,NA,NA,NA,0000-0000-0000-00137,137,FALSE
Carolynn Ryu,NA,01dbdda92afaf9f8b0d876915f3ed17fb8fd9312,MTI College,NA,NA,NA,0000-0000-0000-00138,138,FALSE
Vivien Zubrowski,NA,042bb4f8d5b647df0e559a9dc2cc026001f10953,Colorado Christian University,NA,NA,NA,0000-0000-0000-00139,139,FALSE
Thaddeus Palso,NA,ba018a0ad99b0e82c34f828c17fd53a20aeff0cd,Louisiana State University at Shreveport,NA,NA,NA,0000-0000-0000-00140,140,FALSE
Milton Kososky,NA,8a8181ebafacaf3f1c3e050c806a4ab645ddf293,Colby-Sawyer College,NA,NA,NA,0000-0000-0000-00141,141,FALSE
Amee Bellanger,NA,1fba60b8c7e3126c87fcf625cc27968ef9c2dbd6,Vassar College,NA,NA,NA,0000-0000-0000-00142,142,FALSE
Catheryn Moulden,NA,778ed4afdd53f50be0f2a966b6f7b1004a594d1a,Amridge University,NA,NA,NA,0000-0000-0000-00143,143,FALSE
Mica Pulliam,NA,0439977949ba814f8efee55a29f2f1ad5ea70566,The International School of Hospitality,NA,NA,NA,0000-0000-0000-00144,144,FALSE
Hisako Stockwell,NA,3134ff2c6a2373066cd92aa538ca381161bfb9c9,Yeshiva Bais Aharon,NA,NA,NA,0000-0000-0000-00145,145,TRUE
Elna Shutty,NA,ce092c3cbf5efada69dcbf9b742c1f4fb52eea93,Virginia College - Birmingham,NA,NA,NA,0000-0000-0000-00146,146,FALSE
Nathanial Benigni,NA,8624b195e79b234e2e31ce36236189298e51f0df,Monmouth University,NA,NA,NA,0000-0000-0000-00147,147,FALSE
Bobbie Winburn,NA,30cdab61e724c9e280b79c1fe8f4ae0de97e8c68,Soka University of America,NA,NA,NA,0000-0000-0000-00148,148,FALSE
Joane Latty,NA,162c546e71535e931f8484d2c5aeb461d63324af,Sollers,NA,NA,NA,0000-0000-0000-00149,149,FALSE
Jeri Santai,NA,228b4708dcde15d34308e70b5b79618b3502226d,Louisiana State University at Eunice,NA,NA,NA,0000-0000-0000-00150,150,FALSE
Georgiann Bracamonte,NA,78d3fe99e757a00c829d4bd6c2ced55768c22e25,Sarah Lawrence College,NA,NA,NA,0000-0000-0000-00151,151,FALSE
Isiah Milovich,NA,7f4659acfa730d1a06c685e242fb6bb36ed2c1fa,Thomas Jefferson University and Philadelphia University,NA,NA,NA,0000-0000-0000-00152,152,FALSE
Criselda Belfi,NA,b698c84b70ff5520fc0fdd958207feb322966534,National American University-Sioux Falls,NA,NA,NA,0000-0000-0000-00153,153,FALSE
Shane Bers,NA,ef1b510a602bfce200b7a4c71a1be0704812f052,Point Park University,NA,NA,NA,0000-0000-0000-00154,154,FALSE
Delorse Andrado,NA,0e2179588c4cc47f39e27240130ee44c89fb9649,Anthem Institute - Manhattan,NA,NA,NA,0000-0000-0000-00155,155,FALSE
Shawn Chiola,NA,002e445a3e0e6098b642cd1f30b175759cf91dda,Mississippi Job Corps Center,NA,NA,NA,0000-0000-0000-00156,156,FALSE
Lonny Muldowney,NA,59b1294271f2bee057ed873b8c6b25580d03d8a3,MGH Institute of Health Professions,NA,NA,NA,0000-0000-0000-00157,157,FALSE
Glenda Galante,NA,a49a0c648e6ac98b404c826230fb15569eb4bfd6,Cleveland Institute of Music,NA,NA,NA,0000-0000-0000-00158,158,FALSE
Caleb Lohmeyer,NA,ee47d93fd0699092381c7ef509cb5ae2edef98e1,PR Technological Institute Guayama Campus,NA,NA,NA,0000-0000-0000-00159,159,FALSE
Carlee Gayoso,NA,8849f4c02bf1aaca5dcc0705527c576dd9dd864c,Gulfport Job Corps Center,NA,NA,NA,0000-0000-0000-00160,160,FALSE
Bryant Youssef,NA,b71460d2dfb572a0ade88a2e00379b765e976396,Concordia College,NA,NA,NA,0000-0000-0000-00161,161,FALSE
Mary Heneisen,NA,e178279641968539673e49582b6c5ccf81d272d4,West Virginia State University,NA,NA,NA,0000-0000-0000-00162,162,FALSE
Desirae Saleem,NA,50086767d2fb9b64936337f20db891643af6c70a,Heritage College - Manassas,NA,NA,NA,0000-0000-0000-00163,163,FALSE
Gaynelle Zagrodnik,NA,e224c8c1caf7ecc6eda7e660d334f7a616a24c7a,Capital College,NA,NA,NA,0000-0000-0000-00164,164,FALSE
Joey Frick,NA,c9035252ca3d2b9deca63ed1b06c96f0665a9ee3,Yeshiva and Kollel Harbotzas Torah,NA,NA,NA,0000-0000-0000-00165,165,FALSE
Nannie Mandelberg,NA,1a7a01e805f62e1442929dcbb6342a9c229b583e,National Technological University,NA,NA,NA,0000-0000-0000-00166,166,FALSE
Zona Dornfeld,NA,fadfae6ddff70c82c1b23799a6104d1251de0b20,Vatterott College - Springfield,NA,NA,NA,0000-0000-0000-00167,167,FALSE
Ashleigh Cardiel,NA,7ed51d29d01f4ca0526d7b4a7d2b99cdf27ea3f8,Merit University,NA,NA,NA,0000-0000-0000-00168,168,FALSE
Alfredia Montie,NA,77e43ba45e51d06a8114f75bfbfe130fa09ed277,New Mexico Institute of Mining and Technology,NA,NA,NA,0000-0000-0000-00169,169,FALSE
Deetta Vilhauer,NA,e00a0d963560886e9f2973efbe191c9591afcc94,Vatterott College - Kansas City,NA,NA,NA,0000-0000-0000-00170,170,FALSE
Orville Samain,NA,3c5e0aacfc2bc9241ee7e9750135340b4129a18b,Golden State College of Court Reporting and Captioning,NA,NA,NA,0000-0000-0000-00171,171,FALSE
Georgetta Mahowald,NA,9fbf38b561e6515018a46816f13bcd1c530fc92b,Wade College,NA,NA,NA,0000-0000-0000-00172,172,FALSE
Edgardo Hiens,NA,6b01e5ba768f2b9be61b1feda547c932d65c8017,Bnos Zion of Bobov Seminary,NA,NA,NA,0000-0000-0000-00173,173,FALSE
Ghislaine Lambertson,NA,8299314f0ee110695a0a6b85cb1b147c214a7825,St. Giles International San Francisco,NA,NA,NA,0000-0000-0000-00174,174,FALSE
Louise Raquel,NA,4e87419d11d9d14c556d8114483d46acbd8ecd41,Harrisburg University of Science and Technology,NA,NA,NA,0000-0000-0000-00175,175,FALSE
Gaylord Dohan,NA,c7a1c5b84945ba7275978fe2dc39f676217951f1,University of Central Missouri,NA,NA,NA,0000-0000-0000-00176,176,FALSE
Marshall Dekoning,NA,43fe4365c42177998dcb092b956c289e28829232,University of Bridgeport,NA,NA,NA,0000-0000-0000-00177,177,FALSE
