name,aliases,hash_id,current_affiliation,previous_affiliation,last_degree_affiliation,orcid_url,orcid,author_id,verified
Maricela Westbrooke,NA,08e8443dc83976165bc878fdda185c01b7119271,Sisseton Wahpeton College,NA,NA,NA,0000-0000-0000-0061,61,FALSE
Dionna Brawner,NA,4ec6d5a30b2892c4376b3c867874fe68b00e8fd4,West Virginia University,NA,NA,NA,0000-0000-0000-0062,62,FALSE
Lala Gutta,NA,1b004d91ee962e45c226936b5f37dd8d826d1249,inlingua Florida Doral,NA,NA,NA,0000-0000-0000-0063,63,TRUE
Alvera Liberman,NA,b0ddfa8a8af2df40e13b51a2964ce2e528a97eab,Blush School of Makeup,NA,NA,NA,0000-0000-0000-0064,64,FALSE
Dalene Mcpike,NA,fe25c3439e3e2d0f16b87205ebe4f3961416d393,Aston International Academy,NA,NA,NA,0000-0000-0000-0065,65,FALSE
Magda Fowkes,NA,91dfebdb55889741e3c46e3ff734df13f91dfbb7,Northwestern University,NA,NA,NA,0000-0000-0000-0066,66,FALSE
Elinor Irigoyen,NA,2d03ef8ce64000f44adbb856646bdbb8bc583a7c,Lu Ross Academy,NA,NA,NA,0000-0000-0000-0067,67,FALSE
Briana Rhynard,NA,ad430503df604abc57e2565c845e906ccc3c2b17,PR Technological Institute Guayama Campus,NA,NA,NA,0000-0000-0000-0068,68,FALSE
Tony Cassavaugh,NA,ba8dadbd906bd37f7d144f57e6121e778eb6df66,McIntosh College,NA,NA,NA,0000-0000-0000-0069,69,FALSE
Venita Conchas,NA,29b2a8542e9102e8351bc2ea5131278bb4cf9ceb,American River College,NA,NA,NA,0000-0000-0000-0070,70,FALSE
Chantel Margheim,NA,b72b3d361a6ded3865b4a4c6a0586fda9c77fd37,Blinn College District,NA,NA,NA,0000-0000-0000-0071,71,FALSE
Nannie Drost,NA,d7718b9c7a16dc19e3468e10c4223ddb7b449ae1,New England School of Radiologic Technology,NA,NA,NA,0000-0000-0000-0072,72,FALSE
Lashaun Auman,NA,0885106ea8bce42ef9c1fce0d4cadb7c362cf8d6,Shorter College,NA,NA,NA,0000-0000-0000-0073,73,TRUE
Muriel Siddiqui,NA,f0f3ef83328e4edf4c146bee7f296989d033016e,Wilmington College,NA,NA,NA,0000-0000-0000-0074,74,FALSE
Tifany Sarff,NA,3d14ffcd53e0d2a1cae51d437e836100e0b18cfb,Post University,NA,NA,NA,0000-0000-0000-0075,75,FALSE
Christy Stavrides,NA,15dfaeda8160ebf794f6a804f1867198c1821721,Troy University,NA,NA,NA,0000-0000-0000-0076,76,FALSE
Pamela Umholtz,NA,e2f44c5847d87f2372d4526f089f141195bbea14,Tarrant County College (Trinity River East Campus),NA,NA,NA,0000-0000-0000-0077,77,FALSE
Lorita Protich,NA,0361ae4eaf802c5a07b325be7722f8e27c4ecbb0,InterNACHI School,NA,NA,NA,0000-0000-0000-0078,78,FALSE
Sonja Beach,NA,b84db0a2256e13e67afd9b696cfc94b95c4745d9,PC Center,NA,NA,NA,0000-0000-0000-0079,79,FALSE
Kenny Strause,NA,3165ccd1694320b2b8dfa739f43c1506c796e6d1,University of Illinois at Urbana-Champaign,NA,NA,NA,0000-0000-0000-0080,80,FALSE
Maragaret Wielgus,NA,dea82df6e970ddde5cf8b5dfd90ead584ef38e5f,DC 14 Apprenticeship Program Painters,NA,NA,NA,0000-0000-0000-0081,81,FALSE
Jenniffer Winninger,NA,77350c093fe6e2700354458cefe071f91e1a15bb,Lincoln University,NA,NA,NA,0000-0000-0000-0082,82,FALSE
Celinda Bibber,NA,588b87047bc99184aab632abc96ebdc6a6867b54,Bnos Zion of Bobov Seminary,NA,NA,NA,0000-0000-0000-0083,83,FALSE
Louann Freidin,NA,1b10a720151e3b9b96920ae89366716f7e0c236c,Mountain State School of Massage,NA,NA,NA,0000-0000-0000-0084,84,FALSE
Jina Puelo,NA,c723d0d3376fecbabc3fb6f82d249817d3f54970,Ilisagvik College,NA,NA,NA,0000-0000-0000-0085,85,FALSE
Letha Cantine,NA,2f31df47e90f3fd4fa1f5a50b73e36b4ec9fff6b,Vennard College,NA,NA,NA,0000-0000-0000-0086,86,FALSE
Avis Blasz,NA,be0ca4bb3da15ba94d130ef0f0111cf4dffe9380,The Spa School,NA,NA,NA,0000-0000-0000-0087,87,FALSE
Cecelia Varughese,NA,23b9de766ef50ad617a985dfc3ac35e3f157ccc8,Assumption College,NA,NA,NA,0000-0000-0000-0088,88,TRUE
Cecile Schadegg,NA,f7549dc79e1ecdee9c92d10e3f216499b5ad75e6,Camden County College,NA,NA,NA,0000-0000-0000-0089,89,FALSE
Edda Chaffins,NA,591229fe6e3377ef492f4613f8901cce10a4d9e9,TechSkills - Madison,NA,NA,NA,0000-0000-0000-0090,90,FALSE
Matilda Roberson,NA,3e6ae8593e7a122ace2c961957b8af91a9351efe,Utica School of Commerce- Canastota Campus,NA,NA,NA,0000-0000-0000-0091,91,FALSE
Darla Goyette,NA,d7ff575a0921ad783694704ad6e85a4a0a0a3dd1,Emerson College,NA,NA,NA,0000-0000-0000-0092,92,TRUE
Pearlie Blakelock,NA,08d8846ca7c003a308bc2e21de85ef2509f556fb,Middlesex County College,NA,NA,NA,0000-0000-0000-0093,93,FALSE
Fidel Seawell,NA,519e764075b5032fe59dbc972050f7c247675ed9,Sanford-Brown College - Dearborn,NA,NA,NA,0000-0000-0000-0094,94,FALSE
Clementine Clish,NA,ab6706dc5d0d54bd79e6a50d6c34354ffdf7ac02,Diversified Education Institute - Central Office,NA,NA,NA,0000-0000-0000-0095,95,TRUE
Van Sien,NA,60e315105f8411dcbbef37f61dbdd06d4f245468,Norwich University,NA,NA,NA,0000-0000-0000-0096,96,TRUE
Luigi Grisostomo,NA,5821e548802d7ecf875d7a8b01ef39a8dca439e5,Mount Mary University,NA,NA,NA,0000-0000-0000-0097,97,FALSE
Edra Wahlberg,NA,7a0a1170b558f3333e4175bb0c5ae899595388f8,Wilmington University,NA,NA,NA,0000-0000-0000-0098,98,FALSE
Bert Hrbek,NA,0ccc124f764f8974d214b0872826cd50bc8b8ab1,Regina Webb Academy,NA,NA,NA,0000-0000-0000-0099,99,FALSE
Tilda Borza,NA,d8015ebb93f7b8a588dd9fb60351dc8ccbbf0851,Precision Manufacturing Institute,NA,NA,NA,0000-0000-0000-00100,100,FALSE
