article_title,author_number,author_human_id,author_first_name,author_last_name,author_affiliation,year,paper_id,mean_overall_score_for_presentation,mean_acceptance_rate
The Economics of Air Force Medical Service Readiness,1,Gerda---Rolland---School of Professional Horticulture at the New York Botanical Garden,Gerda,Rolland,School of Professional Horticulture at the New York Botanical Garden,2000,2000---12,2.5,0.5
The Economics of Air Force Medical Service Readiness,2,Christinia---Mcmurrey---PCC Southwest Durango Site,Christinia,Mcmurrey,PCC Southwest Durango Site,2000,2000---12,2.5,0.5
The Economics of Air Force Medical Service Readiness,3,Monique---Pilcher---University of Maine at Augusta at Windham Correctional Center,Monique,Pilcher,University of Maine at Augusta at Windham Correctional Center,2000,2000---12,2.5,0.5
The Economics of Air Force Medical Service Readiness,4,"Dann---Daughdrill---Shear Learning Academy of Cosmetology, Inc.",Dann,Daughdrill,"Shear Learning Academy of Cosmetology, Inc.",2000,2000---12,2.5,0.5
The Economics of Air Force Medical Service Readiness,5,Charlyn---Colorina---Euphoria Institute of Beauty Arts & Sciences - Summerlin,Charlyn,Colorina,Euphoria Institute of Beauty Arts & Sciences - Summerlin,2000,2000---12,2.5,0.5
Fostering Innovation in Community and Institutional Corrections: Identifying High-Priority Technology and Other Needs for the U.S. Corrections Sector,1,Akiko---Naves---Westminster College - Blackhawk High School,Akiko,Naves,Westminster College - Blackhawk High School,2000,2000---13,3.6666666666666665,0.8333333333333334
Fostering Innovation in Community and Institutional Corrections: Identifying High-Priority Technology and Other Needs for the U.S. Corrections Sector,2,Kalyn---Amorosi---National Louis University at Belding School,Kalyn,Amorosi,National Louis University at Belding School,2000,2000---13,3.6666666666666665,0.8333333333333334
Women and the Colonial State: Essays on Gender and Modernity in the Netherlands Indies 1900-1942,1,Colene---Dalcour---National Louis University at Shorewood HS,Colene,Dalcour,National Louis University at Shorewood HS,2000,2000---14,2,0.16666666666666666
On Strike at Hormel: The Struggle for a Democratic Labor Movement,1,Brett---Bemrich---Sacred Heart Medical Center,Brett,Bemrich,Sacred Heart Medical Center,2000,2000---15,2.3333333333333335,0.3333333333333333
On Strike at Hormel: The Struggle for a Democratic Labor Movement,2,Marielle---Conradi---Coahoma County Higher Ed. Center,Marielle,Conradi,Coahoma County Higher Ed. Center,2000,2000---15,2.3333333333333335,0.3333333333333333
Unjust Conditions: Women's Work and the Hidden Cost of Cash Transfer Programs,1,Anisha---Havnen---Chamberlain University College of Nursing - San Antonio,Anisha,Havnen,Chamberlain University College of Nursing - San Antonio,2000,2000---16,3.6666666666666665,0.3333333333333333
Unjust Conditions: Women's Work and the Hidden Cost of Cash Transfer Programs,2,Demarcus---Duchaine---Flint Hills Technical College,Demarcus,Duchaine,Flint Hills Technical College,2000,2000---16,3.6666666666666665,0.3333333333333333
Unjust Conditions: Women's Work and the Hidden Cost of Cash Transfer Programs,3,Neoma---Ferriola---Tulsa Community College at Dick Conner Correctional Center,Neoma,Ferriola,Tulsa Community College at Dick Conner Correctional Center,2000,2000---16,3.6666666666666665,0.3333333333333333
Unjust Conditions: Women's Work and the Hidden Cost of Cash Transfer Programs,4,Xochitl---Frierson---Western Technical College - Black River Falls,Xochitl,Frierson,Western Technical College - Black River Falls,2000,2000---16,3.6666666666666665,0.3333333333333333
Unjust Conditions: Women's Work and the Hidden Cost of Cash Transfer Programs,5,Meta---Darron---Southwest Minnesota State University at Grand Rapids,Meta,Darron,Southwest Minnesota State University at Grand Rapids,2000,2000---16,3.6666666666666665,0.3333333333333333
Unjust Conditions: Women's Work and the Hidden Cost of Cash Transfer Programs,6,Sadye---Hince---East Tennessee State University,Sadye,Hince,East Tennessee State University,2000,2000---16,3.6666666666666665,0.3333333333333333
Unjust Conditions: Women's Work and the Hidden Cost of Cash Transfer Programs,7,Minerva---Ogrady---Regency Beauty Institute - Duluth,Minerva,Ogrady,Regency Beauty Institute - Duluth,2000,2000---16,3.6666666666666665,0.3333333333333333
Fostering Innovation in the U.S. Court System: Identifying High-Priority Technology and Other Needs for Improving Court Operations and Outcomes,1,Crystal---Emziah---Seymour Beauty Academy,Crystal,Emziah,Seymour Beauty Academy,2000,2000---17,3.2,0.2
Fostering Innovation in the U.S. Court System: Identifying High-Priority Technology and Other Needs for Improving Court Operations and Outcomes,2,Leland---Hollingsworth---St Petersburg Theological Seminary,Leland,Hollingsworth,St Petersburg Theological Seminary,2000,2000---17,3.2,0.2
Fostering Innovation in the U.S. Court System: Identifying High-Priority Technology and Other Needs for Improving Court Operations and Outcomes,3,Idalia---Basham---Thomas Jefferson University and Philadelphia University,Idalia,Basham,Thomas Jefferson University and Philadelphia University,2000,2000---17,3.2,0.2
Fostering Innovation in the U.S. Court System: Identifying High-Priority Technology and Other Needs for Improving Court Operations and Outcomes,4,Mi---Becker---Mid-America Christian University at Oklahoma State University - Tulsa,Mi,Becker,Mid-America Christian University at Oklahoma State University - Tulsa,2000,2000---17,3.2,0.2
The Online Advertising Tax: A Digital Policy Innovation,1,Leo---Novas---Lesley University at Kenai Middle School,Leo,Novas,Lesley University at Kenai Middle School,2000,2000---18,4,0.6666666666666666
The Online Advertising Tax: A Digital Policy Innovation,2,Shae---Hych---Governors State University at Sunnybrook School Distraict 171,Shae,Hych,Governors State University at Sunnybrook School Distraict 171,2000,2000---18,4,0.6666666666666666
The Online Advertising Tax: A Digital Policy Innovation,3,Debbie---Strittmatter---Plymouth Fire Department,Debbie,Strittmatter,Plymouth Fire Department,2000,2000---18,4,0.6666666666666666
The Online Advertising Tax: A Digital Policy Innovation,4,Rozanne---Cheers---Indiana Institute of Technology at Merrillville,Rozanne,Cheers,Indiana Institute of Technology at Merrillville,2000,2000---18,4,0.6666666666666666
The Online Advertising Tax: A Digital Policy Innovation,5,Frankie---Gilkes---Grace College and Seminary,Frankie,Gilkes,Grace College and Seminary,2000,2000---18,4,0.6666666666666666
The Online Advertising Tax: A Digital Policy Innovation,6,Eladia---Flesher---Nashville State Community College,Eladia,Flesher,Nashville State Community College,2000,2000---18,4,0.6666666666666666
Training the 21st Century Police Officer: Redefining Police Professionalism for the Los Angeles Police Department,1,Janay---Fosselman---New America College,Janay,Fosselman,New America College,2000,2000---19,3.75,0.25
Training the 21st Century Police Officer: Redefining Police Professionalism for the Los Angeles Police Department,2,Calvin---Dilbeck---Wyandotte Public Schools,Calvin,Dilbeck,Wyandotte Public Schools,2000,2000---19,3.75,0.25
Training the 21st Century Police Officer: Redefining Police Professionalism for the Los Angeles Police Department,3,Efrain---Tedford---Jordan-Locke Community Adult School,Efrain,Tedford,Jordan-Locke Community Adult School,2000,2000---19,3.75,0.25
Training the 21st Century Police Officer: Redefining Police Professionalism for the Los Angeles Police Department,4,Alane---Cassetty---Navarro College- Midlothian Campus,Alane,Cassetty,Navarro College- Midlothian Campus,2000,2000---19,3.75,0.25
Euthanasia and Law in the Netherlands,1,Inocencia---Lave---Vermont College of Fine Arts,Inocencia,Lave,Vermont College of Fine Arts,2000,2000---20,2.8333333333333335,0.3333333333333333
The Federal Voting Assistance Program and the Road Ahead: Achieving Institutional Change Through Analysis and Collaboration,1,Shavon---Dellefave---Brittany Beauty Academy,Shavon,Dellefave,Brittany Beauty Academy,2000,2000---21,2.5,0.25
The Federal Voting Assistance Program and the Road Ahead: Achieving Institutional Change Through Analysis and Collaboration,2,"Syreeta---Truscott---Vista College, Annex B",Syreeta,Truscott,"Vista College, Annex B",2000,2000---21,2.5,0.25
"Hanghaus 2 in Ephesos Die Wohneinheit 6: Baubefund, Ausstattung, Funde",1,Elly---Flore---RSCC at Campbell County Higher Edu Center,Elly,Flore,RSCC at Campbell County Higher Edu Center,2000,2000---22,3.2,0.4
"Hanghaus 2 in Ephesos Die Wohneinheit 6: Baubefund, Ausstattung, Funde",2,Charmain---Dziewanowski---DeVry University - Schaumburg Center,Charmain,Dziewanowski,DeVry University - Schaumburg Center,2000,2000---22,3.2,0.4
"Hanghaus 2 in Ephesos Die Wohneinheit 6: Baubefund, Ausstattung, Funde",3,Teressa---Kooken---Thomas M. Cooley Law School - Grand Rapids Campus,Teressa,Kooken,Thomas M. Cooley Law School - Grand Rapids Campus,2000,2000---22,3.2,0.4
"Hanghaus 2 in Ephesos Die Wohneinheit 6: Baubefund, Ausstattung, Funde",4,Starr---Councilman---International Training Fund - Columbus,Starr,Councilman,International Training Fund - Columbus,2000,2000---22,3.2,0.4
"Hanghaus 2 in Ephesos Die Wohneinheit 6: Baubefund, Ausstattung, Funde",5,Shawanda---Delphia---Olivet Nazarene University at NW Free Baptist Church,Shawanda,Delphia,Olivet Nazarene University at NW Free Baptist Church,2000,2000---22,3.2,0.4
"Hanghaus 2 in Ephesos Die Wohneinheit 6: Baubefund, Ausstattung, Funde",6,Chanelle---Lai---Antioch University New England,Chanelle,Lai,Antioch University New England,2000,2000---22,3.2,0.4
"The European Union, Turkey and Islam",1,Dorris---Cornejo---Valley Baptist Missions Education Center,Dorris,Cornejo,Valley Baptist Missions Education Center,2000,2000---23,3.6666666666666665,0.3333333333333333
"The European Union, Turkey and Islam",2,Alisha---Koutz---Olivet Nazarene University at Walter L. Newberry Math & Science Academy,Alisha,Koutz,Olivet Nazarene University at Walter L. Newberry Math & Science Academy,2000,2000---23,3.6666666666666665,0.3333333333333333
"The European Union, Turkey and Islam",3,Norene---Auble---William Woods University - Osage Beach High School,Norene,Auble,William Woods University - Osage Beach High School,2000,2000---23,3.6666666666666665,0.3333333333333333
Población y políticas sociales en Japón y México: 1870-1990,1,Soila---Vanruiten---Western Technical College at Trane Company,Soila,Vanruiten,Western Technical College at Trane Company,2000,2000---24,2.3333333333333335,0.16666666666666666
Población y políticas sociales en Japón y México: 1870-1990,2,Yu---Kachelmeyer---VA Hudson Valley Health Care System - Montrose,Yu,Kachelmeyer,VA Hudson Valley Health Care System - Montrose,2000,2000---24,2.3333333333333335,0.16666666666666666
Población y políticas sociales en Japón y México: 1870-1990,3,Randell---Addams---University of South Dakota at Sanford School of Medicine - Yankton Site,Randell,Addams,University of South Dakota at Sanford School of Medicine - Yankton Site,2000,2000---24,2.3333333333333335,0.16666666666666666
Población y políticas sociales en Japón y México: 1870-1990,4,Fredda---Peacemaker---Providence Veterans Affairs Medical Center Residency in Primary Care/Ocular Disease,Fredda,Peacemaker,Providence Veterans Affairs Medical Center Residency in Primary Care/Ocular Disease,2000,2000---24,2.3333333333333335,0.16666666666666666
Población y políticas sociales en Japón y México: 1870-1990,5,Carmelo---Klinefelter---Cameron University at East Central University,Carmelo,Klinefelter,Cameron University at East Central University,2000,2000---24,2.3333333333333335,0.16666666666666666
Población y políticas sociales en Japón y México: 1870-1990,6,Gracia---Wormely---Pennsylvania College of Art and Design,Gracia,Wormely,Pennsylvania College of Art and Design,2000,2000---24,2.3333333333333335,0.16666666666666666
The Education of the Eye,1,Marva---Shive---Emergency Operations Training Facility (EOTF),Marva,Shive,Emergency Operations Training Facility (EOTF),2000,2000---25,3.2,0.2
"Examining Gaps in Mathematics Achievement Among Racial-Ethnic Groups, 1972-1992",1,Nannette---Rimel---Mott Community College ZF,Nannette,Rimel,Mott Community College ZF,2000,2000---26,2.8,0.4
"Examining Gaps in Mathematics Achievement Among Racial-Ethnic Groups, 1972-1992",2,Farah---Hellstrom---Mohave Community College at Lake Havasu City,Farah,Hellstrom,Mohave Community College at Lake Havasu City,2000,2000---26,2.8,0.4
A Dissident Liberal: The Political Writings of Peter Baume,1,Lila---Czach---West Coast University,Lila,Czach,West Coast University,2000,2000---27,2.6,0
A Dissident Liberal: The Political Writings of Peter Baume,2,Adella---Dople---Arizona State University at San Carlos Unified School District,Adella,Dople,Arizona State University at San Carlos Unified School District,2000,2000---27,2.6,0
A Dissident Liberal: The Political Writings of Peter Baume,3,Maryetta---Bucknam---Pima County Community College District - Downtown Campus,Maryetta,Bucknam,Pima County Community College District - Downtown Campus,2000,2000---27,2.6,0
The Structures of the Film Experience by Jean-Pierre Meunier: Historical Assessments and Phenomenological Expansions,1,Chad---Oser---CSU Stanislaus - Lodi Unified School District,Chad,Oser,CSU Stanislaus - Lodi Unified School District,2000,2000---28,4.5,0.75
The Structures of the Film Experience by Jean-Pierre Meunier: Historical Assessments and Phenomenological Expansions,2,Debby---Huch---Northern Illinois University at Provena St Joseph Hospital,Debby,Huch,Northern Illinois University at Provena St Joseph Hospital,2000,2000---28,4.5,0.75
The Structures of the Film Experience by Jean-Pierre Meunier: Historical Assessments and Phenomenological Expansions,3,"Nancee---Coopper---New Dimensions Beauty Academy, Inc.",Nancee,Coopper,"New Dimensions Beauty Academy, Inc.",2000,2000---28,4.5,0.75
The Structures of the Film Experience by Jean-Pierre Meunier: Historical Assessments and Phenomenological Expansions,4,Raye---Secord---University of Maryland - University College at Macedonia Campus,Raye,Secord,University of Maryland - University College at Macedonia Campus,2000,2000---28,4.5,0.75
Rethinking Community Policing in International Police Reform: Examples from Asia,1,Pamila---Gherardi---SUNY at Binghamton at NYC Seminar and Conference Center,Pamila,Gherardi,SUNY at Binghamton at NYC Seminar and Conference Center,2000,2000---29,3,0.5
The Stranger at the Feast: Prohibition and Mediation in an Ethiopian Orthodox Christian Community,1,Wally---Prisock---Georgetown University,Wally,Prisock,Georgetown University,2000,2000---30,3.3333333333333335,0.3333333333333333
Tiempos de democracia plebeya: Presente y futuro del progresismo en Uruguay y América Latina,1,Tiffany---Magno---Southwest Human Development,Tiffany,Magno,Southwest Human Development,2000,2000---31,3.6666666666666665,0.16666666666666666
Review of Security Cooperation Mechanisms Combatant Commands Utilize to Build Partner Capacity,1,Ramona---Pokoj---Western Illinois University at John G. Shedd Aquarium,Ramona,Pokoj,Western Illinois University at John G. Shedd Aquarium,2000,2000---32,4,0.4
Review of Security Cooperation Mechanisms Combatant Commands Utilize to Build Partner Capacity,2,Mei---Kahrs---National Louis University at Orr Academy High School,Mei,Kahrs,National Louis University at Orr Academy High School,2000,2000---32,4,0.4
Review of Security Cooperation Mechanisms Combatant Commands Utilize to Build Partner Capacity,3,Olivia---Pleiss---Madison Area Technical College,Olivia,Pleiss,Madison Area Technical College,2000,2000---32,4,0.4
Mujer y literatura mexicana y chicana: culturas en contacto 2,1,Floyd---Secrease---Bismarck State College at Missouri River Correctional,Floyd,Secrease,Bismarck State College at Missouri River Correctional,2000,2000---33,3.2,0
Mujer y literatura mexicana y chicana: culturas en contacto 2,2,"Catrina---Abdel---Greenville College at Lake Land College, Mattoon Campus",Catrina,Abdel,"Greenville College at Lake Land College, Mattoon Campus",2000,2000---33,3.2,0
Mujer y literatura mexicana y chicana: culturas en contacto 2,3,Davida---Heiermann---Westwood College - Atlanta,Davida,Heiermann,Westwood College - Atlanta,2000,2000---33,3.2,0
Mujer y literatura mexicana y chicana: culturas en contacto 2,4,Esteban---Toner---Mariano Moreno Culinary Institute,Esteban,Toner,Mariano Moreno Culinary Institute,2000,2000---33,3.2,0
Mujer y literatura mexicana y chicana: culturas en contacto 2,5,Benny---Sporn---Montgomery Job Corps Center,Benny,Sporn,Montgomery Job Corps Center,2000,2000---33,3.2,0
Mujer y literatura mexicana y chicana: culturas en contacto 2,6,Jesusita---Dulay---The Salon Professional Academy - Evansville,Jesusita,Dulay,The Salon Professional Academy - Evansville,2000,2000---33,3.2,0
Mujer y literatura mexicana y chicana: culturas en contacto 2,7,Noble---Schnackel---William Woods University at Mound City R-II Schools,Noble,Schnackel,William Woods University at Mound City R-II Schools,2000,2000---33,3.2,0
Building Community Resilience to Disasters: A Way Forward to Enhance National Health Security,1,Dorothy---Senethavilouk---Saint Mary's University of Minnesota at Moreland Elementary School,Dorothy,Senethavilouk,Saint Mary's University of Minnesota at Moreland Elementary School,2000,2000---34,2.3333333333333335,0.3333333333333333
Building Community Resilience to Disasters: A Way Forward to Enhance National Health Security,2,Isaac---Spartichino---American Flight Training LLC,Isaac,Spartichino,American Flight Training LLC,2000,2000---34,2.3333333333333335,0.3333333333333333
Building Community Resilience to Disasters: A Way Forward to Enhance National Health Security,3,Ossie---Beisch---Best Western Premier Saratoga Resort,Ossie,Beisch,Best Western Premier Saratoga Resort,2000,2000---34,2.3333333333333335,0.3333333333333333
Building Community Resilience to Disasters: A Way Forward to Enhance National Health Security,4,Florentina---Maritn---Dale Carnegie Training - Andrew Terranova & Associates,Florentina,Maritn,Dale Carnegie Training - Andrew Terranova & Associates,2000,2000---34,2.3333333333333335,0.3333333333333333
Building Community Resilience to Disasters: A Way Forward to Enhance National Health Security,5,Zulema---Mascagni---Crestwood HS,Zulema,Mascagni,Crestwood HS,2000,2000---34,2.3333333333333335,0.3333333333333333
Building Community Resilience to Disasters: A Way Forward to Enhance National Health Security,6,Phyllis---Kanno---Neo-Esthetique  European Institute,Phyllis,Kanno,Neo-Esthetique  European Institute,2000,2000---34,2.3333333333333335,0.3333333333333333
Building Community Resilience to Disasters: A Way Forward to Enhance National Health Security,7,Anjanette---Niner---South Metro Fire Rescue Authority,Anjanette,Niner,South Metro Fire Rescue Authority,2000,2000---34,2.3333333333333335,0.3333333333333333
The Industrial Base for Carbon Dioxide Storage: Status and Prospects,1,Mirella---Nyhus---McKendree University at Louisville II,Mirella,Nyhus,McKendree University at Louisville II,2000,2000---35,1.6,0
The Industrial Base for Carbon Dioxide Storage: Status and Prospects,2,Jeanene---Rhump---James H. Quillen VA Medical CenterVA Mountain HomeVeterans Affairs Medical Center,Jeanene,Rhump,James H. Quillen VA Medical CenterVA Mountain HomeVeterans Affairs Medical Center,2000,2000---35,1.6,0
The Industrial Base for Carbon Dioxide Storage: Status and Prospects,3,Jasmine---Talley---Marywood University,Jasmine,Talley,Marywood University,2000,2000---35,1.6,0
The Industrial Base for Carbon Dioxide Storage: Status and Prospects,4,Dorethea---Audelhuk---Brandman University -  Lacey,Dorethea,Audelhuk,Brandman University -  Lacey,2000,2000---35,1.6,0
The Industrial Base for Carbon Dioxide Storage: Status and Prospects,5,Lannie---Pong---Anderson University at Greenwood (Center Grove),Lannie,Pong,Anderson University at Greenwood (Center Grove),2000,2000---35,1.6,0
The Industrial Base for Carbon Dioxide Storage: Status and Prospects,6,Lahoma---Heinandez---SUNY Empire State College at NYSUT/UFT Paraprofessional Program - Rego Park,Lahoma,Heinandez,SUNY Empire State College at NYSUT/UFT Paraprofessional Program - Rego Park,2000,2000---35,1.6,0
The Industrial Base for Carbon Dioxide Storage: Status and Prospects,7,Cassy---Friesner---Mount Wachusett Community College - Devens Campus,Cassy,Friesner,Mount Wachusett Community College - Devens Campus,2000,2000---35,1.6,0
"Patient Privacy, Consent, and Identity Management in Health Information Exchange: Issues for the Military Health System",1,Theola---Vandevender---Dakota State University at University Center,Theola,Vandevender,Dakota State University at University Center,2000,2000---36,3.5,0.5
"Patient Privacy, Consent, and Identity Management in Health Information Exchange: Issues for the Military Health System",2,"Verline---Niesborella---Rutgers, The State University of New Jersey at Western Monmouth Higher Education",Verline,Niesborella,"Rutgers, The State University of New Jersey at Western Monmouth Higher Education",2000,2000---36,3.5,0.5
"Patient Privacy, Consent, and Identity Management in Health Information Exchange: Issues for the Military Health System",3,Breann---Fonceca---Sojourner-Douglass College Owings Mills,Breann,Fonceca,Sojourner-Douglass College Owings Mills,2000,2000---36,3.5,0.5
"Patient Privacy, Consent, and Identity Management in Health Information Exchange: Issues for the Military Health System",4,Tamera---Bellucci---Cincinnati State Technical and Community College at Greentree Health Science Academy,Tamera,Bellucci,Cincinnati State Technical and Community College at Greentree Health Science Academy,2000,2000---36,3.5,0.5
"Patient Privacy, Consent, and Identity Management in Health Information Exchange: Issues for the Military Health System",5,Mandie---Clacher---University of Phoenix at Ramada Kearny Mesa,Mandie,Clacher,University of Phoenix at Ramada Kearny Mesa,2000,2000---36,3.5,0.5
"Patient Privacy, Consent, and Identity Management in Health Information Exchange: Issues for the Military Health System",6,Lilia---Urrabazo---Franklin Pierce University,Lilia,Urrabazo,Franklin Pierce University,2000,2000---36,3.5,0.5
"Patient Privacy, Consent, and Identity Management in Health Information Exchange: Issues for the Military Health System",7,Ila---Filicetti---Mercyhurst College at SRA International,Ila,Filicetti,Mercyhurst College at SRA International,2000,2000---36,3.5,0.5
"Sudamérica Futuro: China global, transición energética y posdesarrollo",1,Eddie---Galleno---EDP School of Computer Programming,Eddie,Galleno,EDP School of Computer Programming,2000,2000---37,2.75,0
"Sudamérica Futuro: China global, transición energética y posdesarrollo",2,Kenyatta---Delashmit---William Paterson University of New Jersey at County College of Morris,Kenyatta,Delashmit,William Paterson University of New Jersey at County College of Morris,2000,2000---37,2.75,0
"Sudamérica Futuro: China global, transición energética y posdesarrollo",3,Melynda---Sturgell---Crosby-Ironton High School,Melynda,Sturgell,Crosby-Ironton High School,2000,2000---37,2.75,0
"Sudamérica Futuro: China global, transición energética y posdesarrollo",4,Windy---Condray---Arizona State University at Arizona Western College,Windy,Condray,Arizona State University at Arizona Western College,2000,2000---37,2.75,0
Making Migration Work: The Future of Labour Migration in the European Union,1,Yuette---Swart---Flint Area Medical Education,Yuette,Swart,Flint Area Medical Education,2000,2000---38,3,0.16666666666666666
Making Migration Work: The Future of Labour Migration in the European Union,2,Celeste---Newham---University of Phoenix at Scottsdale Healthcare #2,Celeste,Newham,University of Phoenix at Scottsdale Healthcare #2,2000,2000---38,3,0.16666666666666666
Making Migration Work: The Future of Labour Migration in the European Union,3,Towanda---Swan---Montana Barber Institute,Towanda,Swan,Montana Barber Institute,2000,2000---38,3,0.16666666666666666
Making Migration Work: The Future of Labour Migration in the European Union,4,Markita---Knipper---National University -  College of the Canyon SHOFF-4 & SHOFF-12,Markita,Knipper,National University -  College of the Canyon SHOFF-4 & SHOFF-12,2000,2000---38,3,0.16666666666666666
